data,ur,gr,podgr,lesson,prepod,aud
15.05.2023,1,А-203,0,Производственная практика,Москвичев А.Е.,Предпр
15.05.2023,2,А-203,0,Производственная практика,Москвичев А.Е.,Предпр
15.05.2023,3,А-203,0,Производственная практика,Москвичев А.Е.,Предпр
15.05.2023,4,А-203,0,Производственная практика,Москвичев А.Е.,Предпр
15.05.2023,5,А-203,0,Производственная практика,Москвичев А.Е.,Предпр
15.05.2023,6,А-203,0,Производственная практика,Москвичев А.Е.,Предпр
15.05.2023,1,А-212,0,КураторЧас,Борак Е.Ю.,АктЗал
15.05.2023,2,А-212,0,УстрАвт,Сторожук А.Н.,205
15.05.2023,3,А-212,0,УстрАвт,Сторожук А.Н.,205
15.05.2023,5,А-212,0,УстрАвт,Сторожук А.Н.,205
15.05.2023,6,А-212,0,УстрАвт,Сторожук А.Н.,205
15.05.2023,1,А-221,(I),ИнЯз,Цебро Е.А.,217
15.05.2023,2,А-221,(I),ИнЯз,Цебро Е.А.,217
15.05.2023,3,А-221,0,Астрономия,Кулаева И.Н.,105
15.05.2023,5,А-221,0,Обществ,Шарова Н.Ш.,310
15.05.2023,6,А-221,0,Обществ,Шарова Н.Ш.,310
15.05.2023,7,А-221,(I),Физика,Кулаева И.Н.,108
15.05.2023,7,А-221,(II),ИнЯз,Цебро Е.А.,217
15.05.2023,8,А-221,(I),Физика,Кулаева И.Н.,108
15.05.2023,8,А-221,(II),ИнЯз,Цебро Е.А.,217
15.05.2023,9,А-221,(II),Физика,Кулаева И.Н.,108
15.05.2023,10,А-221,(II),Физика,Кулаева И.Н.,108
15.05.2023,1,АТ-22-1,0,КураторЧас,Кошеленко И.П.,АктЗал
15.05.2023,2,АТ-22-1,0,Математика,Исламшина Н.С.,309
15.05.2023,3,АТ-22-1,0,Математика,Исламшина Н.С.,309
15.05.2023,4,АТ-22-1,0,География,Лысенко С.Г.,307
15.05.2023,5,АТ-22-1,0,География,Лысенко С.Г.,307
15.05.2023,7,АТ-22-1,0,ОБЖ,Королев В.В.,304
15.05.2023,8,АТ-22-1,0,ОБЖ,Королев В.В.,304
